word,note,duration,velocity
Wer,A3,800,90
hat,Bb3,500,100
Angst,A3,400,90
vor,Bb3,300,90
Mrs,A3,500,80
Wolf?,F3,600,100
Der,E3,800,70
kleine,G3,500,100
Lambert,F3,500,80
hopste,E3,400,100
ausgelassen,D3,400,90
auf,E3,300,70
der,D3,800,50
Wiese,G4,300,90
"herum,",G4,500,100
da,F4,300,100
stolperte,G4,300,100
er,F4,400,90
und,G4,800,50
stürzte,D3,500,100
tief,D3,300,80
und,G3,500,50
immer,A3,300,100
tiefer,Bb3,600,100
in,C4,800,90
ein,A3,300,90
schrecklich,G3,300,70
dunkles,F3,300,100
Loch.,C4,600,90
„Hilfe!“,Bb3,600,70
blökte,A3,800,90
er.,G3,400,100
„Mammi!,F3,400,80
Mammi!,G3,300,100
Komm,A3,400,100
und,E3,500,50
hol,F3,800,70
mich,G3,500,100
raus!“,A3,500,70
„Komme,G3,400,70
schon!“,E3,500,80
sagte,D3,600,50
eine,G3,800,80
raue,F3,400,80
Stimme.,G3,500,90
Es,E3,600,70
war,D3,500,90
Mrs.,G4,500,80
Wolf.,D3,800,100
Er,G3,400,90
war,F3,500,70
in,G3,400,100
ihrem,A3,600,80
Bau.,G3,600,100
„Du,A3,800,80
armes,E3,600,90
kleines,A3,400,80
Ding!“,G3,500,80
sagte,F3,500,50
Mrs.,E3,600,80
Wolf.,D3,800,90
„Ich,E3,300,90
werde,F3,300,80
mich,Bb3,400,80
um,C4,600,90
dich,A3,300,70
kümmern.“,Bb3,800,100
„Nein!“,A3,400,90
heulte,G3,500,100
Lambert.,A3,600,80
Er,E3,400,70
versuchte,D3,500,100
wegzulaufen.,E3,800,70
Aber,D3,500,80
der,E3,300,50
Bau,D3,500,70
war,E3,400,80
zu,A3,500,70
tief.,G3,800,90
„Bringen,A3,300,80
Sie,G3,500,100
mich,A3,400,90
nach,Bb3,600,90
Hause!,A3,300,100
Ich,C4,800,90
will,Bb3,500,90
zu,A3,400,70
meiner,G3,300,80
Mammi!“,A3,400,90
Aber,G3,600,90
Mrs.,F3,800,90
Wolf,C4,500,100
sagte,D4,500,50
nur:,E4,400,100
„Noch,F4,300,90
nicht,D4,500,80
mein,C4,800,90
kleiner,D4,600,90
Schatz!“,G4,600,90
Mrs.,Bb3,800,100
Wolf,A3,600,80
trug,Bb3,600,70
Lambert,C4,600,80
ins,Bb3,300,80
Bad,G3,300,90
und,A3,800,50
wusch,E4,300,100
ihn,F4,500,100
ordentlich.,G4,500,80
„Wir,D4,600,100
wollen,C4,300,80
doch,D4,800,100
kein,E4,600,70
stinkendes,G4,400,80
kleines,D4,500,80
Lamm,E4,600,90
zum,D4,600,80
Abendessen!“,E4,800,100
sagte,F4,400,50
sie.,E4,300,100
Sie,G4,500,90
setzte,F4,500,90
Lambert,G4,500,100
in,F4,800,70
einen,D4,600,90
Laufstall,C4,300,70
zwischen,D4,500,80
Stapel,G4,600,80
von,F4,400,70
Schaffellteppichen.,C4,800,80
Dann,D4,600,80
ging,E4,500,70
sie,F4,400,100
in,G4,600,100
die,E4,500,50
Küche,F4,800,80
und,G4,600,50
holte,A4,300,80
ein,G4,500,90
riesiges,F4,600,80
Hackebeil.,G4,400,90
„Ich,C5,800,100
bin,Bb4,400,80
gleich,C5,300,100
wieder,G4,600,90
da!“,A4,300,90
sagte,G4,600,50
sie.,F4,800,90
Mrs.,E4,800,90
Wolf,D4,600,80
ging,E4,400,80
in,F4,500,70
den,E4,600,80
Wald.,B3,500,70
Mit,A3,800,80
ihrem,E4,300,100
riesengroßen,D4,500,70
Hackebeil,E4,500,80
schlug,C4,400,70
sie,D4,400,90
einen,C4,800,70
dicken,B3,300,80
Ast,F4,600,90
von,D4,300,100
einem,C4,400,70
Baum.,B3,300,70
Aus,C4,800,90
diesem,D4,600,90
Ast,B3,400,90
hackte,F4,600,90
sie,E4,300,90
einen,F4,400,80
großen,G4,800,80
Klotz,D4,300,90
heraus.,C4,500,90
„So!“,B3,300,90
sagte,D4,600,50
sie.,E4,400,90
„Ein,B3,800,80
"gutes,",A3,300,70
solides,D5,400,80
Hackbrett!“,C5,600,100
Auf,D5,600,80
dem,B4,600,100
Heimweg,C5,800,100
sammelte,D5,500,80
sie,A3,500,90
etwas,B3,500,70
"Rosmarin,",A3,500,80
Thymian,D5,500,90
und,D5,800,50
büschelweise,C5,400,80
wilde,D5,500,100
Minze.,C5,300,70
„Lecker!“,B4,300,90
sagte,A4,500,50
Mrs.,B4,800,80
Wolf.,D5,500,90
Mrs.,F3,800,70
Wolf,G3,500,70
schleppte,F3,500,80
das,Eb3,500,70
Hackbrett,F3,600,80
in,Eb3,400,100
die,F3,800,50
Küche.,C4,600,90
Sie,Bb3,400,70
breitete,Ab3,300,70
ein,G3,600,80
paar,F3,400,80
alte,G3,800,80
Zeitungen,F3,400,70
auf,Bb3,500,100
dem,F3,500,100
Küchenfußboden,G3,500,90
aus.,F3,600,70
„So!“,G3,800,100
sagte,Ab3,300,50
sie.,Eb3,600,70
„Kleine,Bb3,300,70
Lämmer,C4,300,90
machen,Bb3,600,100
eine,C4,800,100
RIESENSCHWEINEREI!“,G3,500,80
Sie,Ab3,500,80
ging,G3,300,80
zu,D4,600,80
ihrem,C4,400,70
Nähkasten,G3,800,70
und,F3,300,50
nahm,Eb3,500,100
eine,D3,500,80
große,C3,600,90
Schere,C3,600,70
und,F4,800,50
ein,Eb4,600,100
Stück,F4,600,90
Tuch,Eb4,300,80
hervor.,D4,400,100
Sie,C4,500,70
schnitt,Eb4,800,70
eine,F4,300,100
Schürze,C3,500,90
heraus,C3,300,90
und,D3,600,50
passte,C3,300,70
sie,D3,800,90
an.,F3,600,90
„Perfekt!“,D3,600,70
sagte,C3,300,50
Mrs.,F4,500,70
Wolf.,Eb4,400,70
Dann,F4,800,70
sah,C4,500,100
sie,F4,500,70
in,C3,600,70
ihrem,D3,300,80
Kochbuch,Eb3,400,70
nach,D3,800,70
und,Eb3,400,50
blätterte,F3,300,90
zu,Bb3,600,80
der,C4,300,50
"Seite,",Bb3,400,100
auf,C4,800,100
der,Bb3,300,50
stand:,Ab3,400,70
„REZEPTE,G3,600,70
FÜR,D3,400,80
LÄMMER.“,Eb3,300,70
Sorgfältig,D3,800,100
las,C3,600,80
sie,F4,300,100
nach.,C4,500,70
„Lecker!“,D4,600,100
sagte,F4,600,50
Mrs.,C3,800,100
Wolf.,F4,600,80
Mrs.,C4,800,90
Wolf,D4,500,100
stellte,E4,400,100
einen,F4,600,90
großen,E4,400,70
Topf,D4,300,100
mit,E4,800,90
Wasser,A4,500,70
auf,Bb4,500,90
den,F3,400,80
Ofen.,F3,600,100
Als,G3,600,100
es,F3,800,90
blubberte,G3,600,90
und,D4,500,50
"kochte,",Bb3,600,100
warf,C4,500,80
sie,Bb3,400,80
"Babykarotten,",C4,800,100
"Babyerbsen,",Bb3,400,80
Zwiebeln,G3,300,80
und,D4,600,50
Kartoffeln,E4,500,80
und,F4,300,50
Rosmarin,G4,800,100
